id,batsman,bowler,runs
18,BB McCullum,SB Joshi,6
21,RT Ponting,JH Kallis,4
23,RT Ponting,JH Kallis,6
27,BB McCullum,SB Joshi,6
33,BB McCullum,JH Kallis,4
37,BB McCullum,JH Kallis,4
45,DJ Hussey,CL White,4
47,BB McCullum,CL White,6
48,BB McCullum,CL White,4
51,BB McCullum,CL White,6
61,BB McCullum,Z Khan,6
68,BB McCullum,AA Noffke,4
70,BB McCullum,JH Kallis,6
72,BB McCullum,JH Kallis,6
73,BB McCullum,JH Kallis,4
75,Mohammad Hafeez,JH Kallis,4
76,BB McCullum,P Kumar,6
77,BB McCullum,P Kumar,6
87,BB McCullum,Z Khan,4
88,BB McCullum,Z Khan,4
89,BB McCullum,Z Khan,6
90,BB McCullum,Z Khan,4
95,BB McCullum,P Kumar,4
99,BB McCullum,AA Noffke,6
101,SC Ganguly,AA Noffke,4
104,BB McCullum,AA Noffke,6
105,SC Ganguly,P Kumar,4
107,BB McCullum,P Kumar,4
127,MV Boucher,AB Agarkar,4
147,AA Noffke,SC Ganguly,4
153,P Kumar,AB Agarkar,4
161,P Kumar,LR Shukla,6
173,P Kumar,SC Ganguly,6
192,JH Kallis,AB Agarkar,6
202,BB McCullum,P Kumar,6
225,K Goel,JDP Oram,4
227,MEK Hussey,JR Hopes,6
230,JR Hopes,JDP Oram,4
235,K Goel,MS Gony,4
238,JR Hopes,JDP Oram,4
244,MEK Hussey,PP Chawla,6
248,SK Raina,PP Chawla,6
249,SK Raina,PP Chawla,4
250,MEK Hussey,K Goel,6
251,MEK Hussey,K Goel,4
253,SK Raina,K Goel,6
268,MEK Hussey,JR Hopes,6
270,MEK Hussey,WA Mota,4
274,MEK Hussey,WA Mota,4
275,MEK Hussey,WA Mota,6
276,JDP Oram,IK Pathan,6
284,MEK Hussey,S Sreesanth,6
285,MEK Hussey,S Sreesanth,4
289,S Badrinath,IK Pathan,4
292,MEK Hussey,IK Pathan,6
293,MEK Hussey,IK Pathan,4
294,S Badrinath,B Lee,4
298,MEK Hussey,B Lee,6
300,S Badrinath,JR Hopes,6
301,S Badrinath,JR Hopes,6
302,S Badrinath,JR Hopes,4
308,ML Hayden,B Lee,4
310,PA Patel,S Sreesanth,4
311,PA Patel,S Sreesanth,4
312,PA Patel,S Sreesanth,4
318,ML Hayden,B Lee,4
329,MEK Hussey,S Sreesanth,4
332,MEK Hussey,B Lee,4
333,MEK Hussey,B Lee,4
336,ML Hayden,JR Hopes,4
337,ML Hayden,JR Hopes,6
342,ML Hayden,IK Pathan,4
352,SK Raina,JR Hopes,6
355,SK Raina,IK Pathan,4
358,MEK Hussey,IK Pathan,6
365,JR Hopes,M Muralitharan,6
368,KC Sangakkara,M Muralitharan,4
377,KC Sangakkara,Joginder Sharma,6
378,KC Sangakkara,Joginder Sharma,4
383,Yuvraj Singh,P Amarnath,6
386,Yuvraj Singh,P Amarnath,4
392,Yuvraj Singh,M Muralitharan,6
397,KC Sangakkara,Joginder Sharma,4
400,KC Sangakkara,Joginder Sharma,6
403,KC Sangakkara,P Amarnath,4
410,KC Sangakkara,MS Gony,4
428,SM Katich,Joginder Sharma,6
432,JR Hopes,P Amarnath,4
433,JR Hopes,P Amarnath,4
436,JR Hopes,P Amarnath,4
438,JR Hopes,Joginder Sharma,4
439,JR Hopes,Joginder Sharma,4
443,JR Hopes,JDP Oram,4
451,K Goel,MS Gony,6
456,JR Hopes,JDP Oram,4
457,JR Hopes,JDP Oram,4
459,JR Hopes,MS Gony,6
465,JR Hopes,MS Gony,6
477,T Kohli,GD McGrath,6
482,YK Pathan,B Geeves,4
490,G Gambhir,YK Pathan,4
497,G Gambhir,SK Warne,4
522,S Dhawan,SK Trivedi,4
524,S Dhawan,SK Trivedi,4
527,S Dhawan,YK Pathan,4
543,D Salunkhe,DL Vettori,4
544,D Salunkhe,DL Vettori,4
547,D Salunkhe,GD McGrath,4
557,G Gambhir,MM Patel,4
558,G Gambhir,MM Patel,4
559,V Sehwag,SR Watson,4
560,V Sehwag,SR Watson,4
561,V Sehwag,SR Watson,4
564,YK Pathan,B Geeves,4
572,SR Watson,B Geeves,4
573,SR Watson,B Geeves,4
576,SR Watson,B Geeves,4
580,SR Watson,GD McGrath,4
619,RA Jadeja,DL Vettori,6
620,RA Jadeja,DL Vettori,4
626,D Salunkhe,R Bhatia,4
632,RA Jadeja,B Geeves,4
638,RA Jadeja,DL Vettori,6
