id,runs,type,bowler
25,4,byes,JH Kallis
36,1,wides,JH Kallis
49,2,wides,CL White
79,1,legbyes,P Kumar
81,1,wides,P Kumar
85,1,legbyes,P Kumar
94,1,legbyes,P Kumar
98,5,wides,AA Noffke
100,1,legbyes,AA Noffke
123,1,wides,AB Agarkar
124,1,wides,AB Agarkar
129,1,legbyes,SC Ganguly
137,1,wides,AB Agarkar
138,1,wides,AB Agarkar
145,1,wides,SC Ganguly
146,1,legbyes,SC Ganguly
162,2,wides,LR Shukla
174,1,wides,I Sharma
178,1,legbyes,I Sharma
181,1,wides,LR Shukla
186,1,legbyes,I Sharma
204,1,wides,AB Dinda
212,4,legbyes,I Sharma
220,1,wides,AB Dinda
256,1,wides,WA Mota
259,1,wides,WA Mota
269,1,legbyes,JR Hopes
314,1,wides,S Sreesanth
318,1,noballs,B Lee
331,1,legbyes,B Lee
382,1,legbyes,P Amarnath
385,1,legbyes,P Amarnath
391,2,wides,M Muralitharan
402,1,byes,P Amarnath
407,1,legbyes,MS Gony
417,1,byes,M Muralitharan
461,1,wides,MS Gony
464,1,wides,MS Gony
470,1,legbyes,M Muralitharan
472,1,wides,Joginder Sharma
475,1,wides,GD McGrath
489,1,wides,YK Pathan
512,5,wides,D Salunkhe
520,1,wides,SK Trivedi
586,1,legbyes,MF Maharoof
595,1,legbyes,MF Maharoof
603,1,byes,R Bhatia
607,1,legbyes,MF Maharoof
628,2,wides,R Bhatia
666,1,wides,SK Trivedi
680,1,wides,SK Trivedi
685,1,wides,SR Watson
706,1,wides,P Kumar
713,4,legbyes,Z Khan
727,1,wides,JH Kallis
735,1,byes,B Akhil
745,1,wides,JH Kallis
750,1,byes,B Akhil
801,1,wides,DS Kulkarni
821,1,legbyes,JH Kallis
830,1,legbyes,R Vinay Kumar
854,1,wides,A Nehra
858,1,wides,A Nehra
892,1,wides,DS Kulkarni
905,1,wides,Harbhajan Singh
941,4,legbyes,RP Singh
945,1,legbyes,WPUJC Vaas
977,1,legbyes,Mohammad Hafeez
992,1,wides,I Sharma
996,1,wides,DJ Hussey
1018,1,noballs,AB Dinda
1024,1,legbyes,I Sharma
1028,1,wides,I Sharma
1030,1,wides,I Sharma
1063,1,noballs,Mohammad Hafeez
1077,1,legbyes,Mohammad Hafeez
1079,1,legbyes,Mohammad Hafeez
1096,1,wides,PP Ojha
1110,1,legbyes,PP Ojha
1126,1,legbyes,SB Styris
1131,1,legbyes,PP Ojha
1147,1,wides,SB Bangar
1153,1,wides,SB Styris
1165,4,byes,A Symonds
1167,1,wides,A Symonds
1168,5,wides,A Symonds
1171,1,noballs,A Symonds
1174,5,wides,SB Bangar
1177,1,wides,PP Ojha
1227,1,noballs,S Sreesanth
1248,1,wides,JR Hopes
1259,1,noballs,B Lee
1266,1,wides,S Sreesanth
1271,1,noballs,S Sreesanth
1277,1,noballs,B Lee
1280,1,wides,S Sreesanth
1284,1,wides,S Sreesanth
1288,1,legbyes,JR Hopes
1299,1,wides,D Salunkhe
1304,1,wides,D Salunkhe
1305,1,legbyes,D Salunkhe
1373,1,noballs,SR Watson
1377,1,legbyes,B Lee
1391,1,wides,IK Pathan
1418,1,wides,IK Pathan
1419,1,legbyes,GD McGrath
1469,1,legbyes,Mohammad Asif
1492,1,legbyes,VY Mahesh
1497,1,noballs,VY Mahesh
1529,1,wides,RP Singh
1552,1,wides,MF Maharoof
