venueID,venue,city,homeTeamID
0,Barabati Stadium,Cuttack,1-5-7
1,Brabourne Stadium,Mumbai,8-10
2,Buffalo Park,East London,-1
3,De Beers Diamond Oval,Kimberley,-1
4,Dr DY Patil Sports Academy,Mumbai,8-1-9
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,1-13-8-11
6,Dubai International Cricket Stadium,Dubai,-1
7,Eden Gardens,Kolkata,7
8,Feroz Shah Kotla,Delhi,2
9,Green Park,Kanpur,4
10,Himachal Pradesh Cricket Association Stadium,Dharamsala,5
11,Holkar Cricket Stadium,Indore,6-5
12,JSCA International Stadium Complex,Ranchi,7-0
13,Kingsmead,Durban,-1
14,M.Chinnaswamy Stadium,Bangalore,12
15,"MA Chidambaram Stadium, Chepauk",Chennai,0
16,Maharashtra Cricket Association Stadium,Pune,9-5-11-0
17,Nehru Stadium,Kochi,6
18,New Wanderers Stadium,Johannesburg,-1
19,Newlands,Cape Town,-1
20,OUTsurance Oval,Bloemfontein,-1
21,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,5
22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1-13
23,"Sardar Patel Stadium, Motera",Ahmedabad,10
24,Saurashtra Cricket Association Stadium,Rajkot,4
25,Sawai Mansingh Stadium,Jaipur,10
26,Shaheed Veer Narayan Singh International Stadium,Raipur,3
27,Sharjah Cricket Stadium,Sharjah,-1
28,Sheikh Zayed Stadium,Abu Dhabi,-1
29,St Georges Park,Port Elizabeth,-1
30,SuperSport Park,Centurion,-1
31,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1
32,Wankhede Stadium,Mumbai,8
