matchID,date,venueID,team1,team2,tossWin,tossDecision,playerOfMatch,winner,result,resultMargin
335982,2008-04-18,14,12,7,12,field,BB McCullum,7,runs,140.0
335983,2008-04-19,21,5,0,0,bat,MEK Hussey,0,runs,33.0
335984,2008-04-19,8,3,10,10,bat,MF Maharoof,3,wickets,9.0
335985,2008-04-20,32,8,12,8,bat,MV Boucher,12,wickets,5.0
335986,2008-04-20,7,7,1,1,bat,DJ Hussey,7,wickets,5.0
335987,2008-04-21,25,10,5,5,bat,SR Watson,10,wickets,6.0
335988,2008-04-22,22,1,3,1,bat,V Sehwag,3,wickets,9.0
335989,2008-04-23,15,0,8,8,field,ML Hayden,0,runs,6.0
335990,2008-04-24,22,1,10,10,field,YK Pathan,10,wickets,3.0
335991,2008-04-25,21,5,8,8,field,KC Sangakkara,5,runs,66.0
335992,2008-04-26,14,12,10,10,field,SR Watson,10,wickets,7.0
335993,2008-04-26,15,0,7,7,bat,JDP Oram,0,wickets,9.0
335994,2008-04-27,4,8,1,1,field,AC Gilchrist,1,wickets,10.0
335995,2008-04-27,21,5,3,3,bat,SM Katich,5,wickets,4.0
335996,2008-04-28,14,12,0,0,bat,MS Dhoni,0,runs,13.0
335997,2008-04-29,7,7,8,7,bat,ST Jayasuriya,8,wickets,7.0
335998,2008-04-30,8,3,12,12,field,GD McGrath,3,runs,10.0
335999,2008-05-01,22,1,5,5,field,SE Marsh,5,wickets,7.0
336000,2008-05-01,25,10,7,10,bat,SA Asnodkar,10,runs,45.0
336001,2008-05-02,15,0,3,0,bat,V Sehwag,3,wickets,8.0
336002,2008-05-25,22,1,12,1,bat,R Vinay Kumar,12,wickets,5.0
336003,2008-05-03,21,5,7,5,bat,IK Pathan,5,runs,9.0
336004,2008-05-04,4,8,3,3,field,SM Pollock,8,runs,29.0
336005,2008-05-04,25,10,0,0,bat,Sohail Tanvir,10,wickets,8.0
336006,2008-05-05,14,12,5,5,field,S Sreesanth,5,wickets,6.0
336007,2008-05-06,15,0,1,1,field,AC Gilchrist,1,wickets,7.0
336008,2008-05-07,4,8,10,8,field,A Nehra,8,wickets,7.0
336009,2008-05-08,8,3,0,0,field,MS Dhoni,0,wickets,4.0
336010,2008-05-08,7,7,12,7,bat,SC Ganguly,7,runs,5.0
336011,2008-05-09,25,10,1,10,field,YK Pathan,10,wickets,8.0
336012,2008-05-28,14,12,8,8,field,CRD Fernando,8,wickets,9.0
336013,2008-05-10,15,0,5,5,field,L Balaji,0,runs,18.0
336014,2008-05-11,22,1,7,7,bat,SC Ganguly,7,runs,23.0
336015,2008-05-11,25,10,3,10,field,SR Watson,10,wickets,3.0
336016,2008-05-12,21,5,12,12,bat,SE Marsh,5,wickets,9.0
336017,2008-05-13,7,7,3,7,bat,Shoaib Akhtar,7,runs,23.0
336018,2008-05-14,32,8,0,8,field,ST Jayasuriya,8,wickets,9.0
336019,2008-05-28,21,5,10,10,field,SE Marsh,5,runs,41.0
336020,2008-05-15,8,3,1,1,field,A Mishra,3,runs,12.0
336021,2008-05-16,32,8,7,8,field,SM Pollock,8,wickets,8.0
336022,2008-05-17,8,3,5,3,bat,DPMD Jayawardene,5,runs,6.0
336023,2008-05-17,25,10,12,12,field,GC Smith,10,runs,65.0
336024,2008-05-18,22,1,8,1,field,DJ Bravo,8,runs,25.0
336025,2008-05-18,7,7,0,7,bat,M Ntini,0,runs,3.0
336026,2008-05-19,14,12,3,3,field,SP Goswami,3,wickets,5.0
336027,2008-05-20,7,7,10,10,field,YK Pathan,10,wickets,6.0
336028,2008-05-21,32,8,5,8,field,SE Marsh,5,runs,1.0
336029,2008-05-21,15,0,12,12,bat,A Kumble,12,runs,14.0
336031,2008-05-23,21,5,1,5,field,SE Marsh,5,wickets,6.0
336032,2008-05-24,8,3,8,3,field,KD Karthik,3,wickets,5.0
336033,2008-05-24,15,0,10,10,bat,JA Morkel,10,runs,10.0
336034,2008-05-03,14,12,1,1,field,P Kumar,12,runs,3.0
336035,2008-05-25,7,7,5,5,bat,Umar Gul,7,wickets,3.0
336036,2008-05-26,25,10,8,10,field,Sohail Tanvir,10,wickets,5.0
336037,2008-05-27,22,1,0,1,bat,SK Raina,0,wickets,7.0
336038,2008-05-30,32,3,10,3,field,SR Watson,10,runs,105.0
336039,2008-05-31,32,0,5,5,bat,M Ntini,0,wickets,9.0
336040,2008-06-01,4,0,10,10,field,YK Pathan,10,wickets,3.0
392181,2009-04-18,19,0,8,0,field,SR Tendulkar,8,runs,19.0
392182,2009-04-18,19,12,10,12,bat,R Dravid,12,runs,75.0
392183,2009-04-19,19,3,5,3,field,DL Vettori,3,wickets,10.0
392184,2009-04-19,19,1,7,7,bat,RP Singh,1,wickets,8.0
392185,2009-04-20,29,12,0,0,bat,M Muralitharan,0,runs,92.0
392186,2009-04-21,13,5,7,7,field,CH Gayle,7,runs,11.0
392188,2009-04-22,19,12,1,1,bat,AC Gilchrist,1,runs,24.0
392189,2009-04-23,13,0,3,3,bat,AB de Villiers,3,runs,9.0
392190,2009-04-23,19,7,10,7,field,YK Pathan,10,tie,-1.0
392191,2009-04-24,13,12,5,12,bat,RS Bopara,5,wickets,7.0
392192,2009-04-25,13,1,8,1,bat,PP Ojha,1,runs,12.0
392194,2009-04-26,29,12,3,12,bat,TM Dilshan,3,wickets,6.0
392195,2009-04-26,19,5,10,5,bat,KC Sangakkara,5,runs,27.0
392196,2009-04-27,13,0,1,1,field,HH Gibbs,1,wickets,6.0
392197,2009-04-27,29,7,8,8,bat,SR Tendulkar,8,runs,92.0
392198,2009-04-28,30,3,10,3,bat,YK Pathan,10,wickets,5.0
392199,2009-04-29,13,12,7,7,bat,MV Boucher,12,wickets,5.0
392200,2009-04-29,13,5,8,5,bat,KC Sangakkara,5,runs,3.0
392201,2009-04-30,30,1,3,3,field,DP Nannes,3,wickets,6.0
392202,2009-04-30,30,0,10,10,field,SK Raina,0,runs,38.0
392203,2009-05-01,2,7,8,8,bat,JP Duminy,8,runs,9.0
392204,2009-05-01,13,12,5,12,bat,Yuvraj Singh,12,runs,8.0
392205,2009-05-02,29,1,10,1,bat,YK Pathan,10,wickets,3.0
392206,2009-05-02,18,0,3,3,field,SB Jakati,0,runs,18.0
392207,2009-05-03,29,5,7,7,bat,DPMD Jayawardene,5,wickets,6.0
392208,2009-05-03,18,12,8,8,bat,JH Kallis,12,wickets,9.0
392209,2009-05-04,2,0,1,0,bat,MS Dhoni,0,runs,78.0
392210,2009-05-05,13,5,10,5,field,GC Smith,10,runs,78.0
392211,2009-05-05,13,3,7,7,bat,G Gambhir,3,wickets,9.0
392212,2009-05-06,30,1,8,1,bat,RG Sharma,1,runs,19.0
392213,2009-05-07,30,12,10,10,field,A Singh,10,wickets,7.0
392214,2009-05-07,30,0,5,0,bat,ML Hayden,0,runs,12.0
392215,2009-05-08,2,3,8,8,bat,A Nehra,3,wickets,7.0
392216,2009-05-09,3,1,5,5,field,DPMD Jayawardene,5,wickets,3.0
392217,2009-05-09,3,0,10,10,bat,S Badrinath,0,wickets,7.0
392218,2009-05-10,29,12,8,8,bat,JP Duminy,8,runs,16.0
392219,2009-05-10,18,3,7,3,field,A Mishra,3,wickets,7.0
392220,2009-05-11,3,1,10,1,bat,DR Smith,1,runs,53.0
