id,dismissalKind,playerDismissed,fielder
32,caught,RT Ponting,P Kumar
64,caught,DJ Hussey,CL White
112,caught,SC Ganguly,JH Kallis
132,caught,MV Boucher,M Kartik
135,caught,B Akhil,RT Ponting
141,caught,CL White,WP Saha
155,run out,AA Noffke,"AB Agarkar,WP Saha"
168,bowled,Z Khan,
182,caught,SB Joshi,BB McCullum
193,caught,JH Kallis,M Kartik
196,caught,W Jaffer,RT Ponting
210,bowled,R Dravid,
217,bowled,V Kohli,
257,caught,SK Raina,IK Pathan
278,bowled,JDP Oram,
321,caught,PA Patel,KC Sangakkara
343,bowled,ML Hayden,
348,lbw,MS Dhoni,
371,caught,JR Hopes,Joginder Sharma
396,caught,Yuvraj Singh,P Amarnath
416,caught,KC Sangakkara,Joginder Sharma
463,caught,K Goel,PA Patel
535,bowled,SK Warne,
562,bowled,V Sehwag,
567,caught,T Kohli,M Manhas
575,run out,YK Pathan,
590,run out,SR Watson,
598,lbw,DS Lehmann,
615,caught,M Kaif,B Geeves
625,bowled,M Rawat,
639,bowled,RA Jadeja,
711,retired hurt,DJ Thornely,
712,caught,L Ronchi,V Kohli
724,run out,ST Jayasuriya,Z Khan
732,caught,PR Shah,V Kohli
753,stumped,RV Uthappa,MV Boucher
765,caught,AM Nayar,Z Khan
772,bowled,SM Pollock,
803,caught,S Chanderpaul,AM Nayar
856,caught,V Kohli,L Ronchi
888,caught,JH Kallis,AM Nayar
908,caught and bowled,R Dravid,
915,caught,LRPL Taylor,AM Nayar
942,caught,BB McCullum,RG Sharma
956,lbw,RT Ponting,
969,caught,WP Saha,SB Styris
984,caught,AS Yadav,AB Dinda
1005,caught,A Symonds,DJ Hussey
1007,caught,WPUJC Vaas,SC Ganguly
1010,caught,SB Bangar,WP Saha
1011,run out,PP Ojha,"Mohammad Hafeez,WP Saha"
1039,caught,Y Venugopal Rao,M Kartik
1046,caught,VVS Laxman,LR Shukla
1069,caught,AC Gilchrist,Mohammad Hafeez
1072,caught,RG Sharma,WP Saha
1090,bowled,SB Styris,
1099,bowled,SC Ganguly,
1120,caught,Mohammad Hafeez,A Symonds
1204,bowled,K Goel,
1265,caught,M Kaif,KC Sangakkara
1275,caught and bowled,YK Pathan,
1292,caught,Kamran Akmal,PP Chawla
1295,caught and bowled,KC Sangakkara,
1302,stumped,DPMD Jayawardene,Kamran Akmal
1311,lbw,JR Hopes,
1358,lbw,Yuvraj Singh,
1361,bowled,IK Pathan,
1363,caught,B Lee,Kamran Akmal
1371,run out,S Sohal,"RA Jadeja,Kamran Akmal"
1413,lbw,DS Lehmann,
1427,bowled,AC Gilchrist,
1446,bowled,VVS Laxman,
1474,run out,SB Bangar,"MK Tiwary,KD Karthik"
1489,caught,RG Sharma,GD McGrath
1493,caught,AS Yadav,G Gambhir
1519,caught,G Gambhir,AC Gilchrist
1545,caught,Y Venugopal Rao,S Dhawan
1554,caught,A Symonds,KD Karthik
1571,lbw,Shahid Afridi,
1625,caught,MS Dhoni,DJ Bravo
1634,run out,L Ronchi,S Badrinath
1650,caught,ST Jayasuriya,Joginder Sharma
1687,bowled,RV Uthappa,
1701,run out,ML Hayden,Harbhajan Singh
1722,caught,PA Patel,L Ronchi
1731,bowled,MEK Hussey,
1797,caught,SK Raina,DJ Bravo
1828,caught,Harbhajan Singh,S Badrinath
1842,caught,DJ Bravo,JDP Oram
1849,caught,MA Khote,SK Raina
1865,bowled,SM Pollock,
1890,stumped,AC Gilchrist,Kamran Akmal
1894,caught,Shahid Afridi,RA Jadeja
1928,caught and bowled,VVS Laxman,
1942,caught,GC Smith,D Kalyankrishna
1949,bowled,RA Jadeja,
1951,run out,D Salunkhe,"VVS Laxman,RP Singh"
1962,caught,AS Yadav,Kamran Akmal
1975,caught,Kamran Akmal,SB Bangar
2020,caught,YK Pathan,A Symonds
2068,caught,RG Sharma,D Salunkhe
2116,bowled,SR Watson,
2121,caught,M Kaif,A Symonds
2142,caught,IK Pathan,DS Kulkarni
2170,run out,K Goel,"DJ Bravo,L Ronchi"
2189,caught,S Sohal,A Nehra
2194,caught,KC Sangakkara,DS Kulkarni
